ID,Notes
1,Soil had a lot of calcium carbonate past 24 cm
2,We were only able to dig 55cm deep at this site because we hit bedrock
3,We hit shale at 22cm when digging the soil pit. Soil profiles above the shale were very compacted clay.
4,one of the better soil profiles for the AIM plots
5,NA
6,NA
7,NA
8,24 to BR
9,NA
10,at center pt.
11,hit bedrock
12,Horizon 1 containts no values because it was herbaceous litter
13,"Horizon 1 consisted of primarily leaf litter and does not fit into any of the texture categories listed. At 50cm depth a large rock mass was hit, making it impossiblle to dig to the desired 70cm."
14,calcite rubble present
15,NA
16,51 to R
17,Horizon 1 = 10% clay; Horizon 2 = 15% clay; Horizon 3 = 10% clay; Horizon 4 = 0% clay; Horizon 3 is a soft crumbly rock layer; Horizon 4 is bedrock
18,at center
19,NA
20,NA
21,15 cm to rock.
22,clay layer from 10 cm to 55 cm
23,"soil pit 20 cm, lots of rocks!"
24,Clay-rich layer at 60cm with color change
25,41 cm to Rock
26,Hit bedrock at 28 cm.
27,bedrock at 27cm
28,NA
29,"Soil pit 31 centimeters deep, bedrock"
30,NA
31,bedrock at 42 cm
32,bedrock at 54
33,ground covered in stones. Hit bedrock at 24cm.
34,NA
35,NA
36,Horizon 1 = 15% clay; Horizon 2 = 25% clay; Horizon 3 = Bedrock at 12 cm. Horizon 3 was a soft bedrock layer that was able to be chipped away and was able to be tested for efference and color.
37,"Horizon 1 was ~15% clay. Horizon 2 was ~19% clay, 53% gravel, and 3% cobbles. Horizon 3 was ~21% clay. Horizon 4 was ~21% clay, 83% gravel, 5% cobbles."
38,Difficult to dig pit because of PIED roots. 7 inch layer of Herabceous Litter on soil surface. Horizon 1 was ~65% clay. Horizon 2 was  ~13% clay. Horizon 3 was about ~10% clay.
39,"Horizon=H. H1 was ~32% Clay. H2 was~30% Clay. H3 was ~35% Clay, of the rock fragments 33% are Gravel and 7% are Cobbles. H4 was ~40% Clay."
40,Horizon 1 was ~15% Clay. Horizon 2 was ~70% Clay. Horizon 3 was ~50% clay.
41,NA
42,NA
43,NA
44,NA
45,Extremely rocky. Hit bedrock at 55 cm.
46,Extremely rocky. Hit bedrock at 45cm.
47,Extremely rocky. Hit bedrock at 42cm.
48,NA
49,NA
50,Bedrock at 52cm
51,Bedrock at 63 cm
52,NA
53,NA
54,NA
55,NA
56,NA
57,Extremely rocky. Bedrock at 53 cm.
58,NA
59,NA
60,NA
61,NA
62,NA
63,Extremely rocky. Bedrock at 60 cm.
64,NA
65,Hit bedrock at approximately 64 cm deep
66,NA
67,NA
68,NA
69,NA
70,Hit bedrock at approximately 50 cm in depth
71,BED ROCK AT APPROXIMATELY 42 CM IN DEPTH
72,NA
73,NA
74,NA
75,Rained on while digging but covered with tarp.
76,NA
77,Bedrock at 30 cm
78,High clay concentrations
79,NA
80,Bedrock hit at 57 cm. Clay rich.
81,NA
82,NA
83,NA
84,NA
85,NA
86,NA
87,NA
88,Bedrock at 52 cm
89,NA
90,NA
91,Bedrock at 37 cm
92,Bedrock at 46 cm
