PrimaryKey,PlotKey,PlotID,State,County,ID
18080201003235622018-09-01,1808020100323562,WySage-2240,CO,Montrose,1
16082410135362892016-09-01,1608241013536289,PJ-378,CO,Mesa,2
16082507454283392016-09-01,1608250745428339,GOS-093,CO,Mesa,3
COS08000_2019_SS-5592019-09-01,COS08000_2019_SS-559,SS-559,CO,COS08000,4
17072007102224272017-09-01,1707200710222427,OTH-1163,CO,Mesa,5
CO_CO-NWD-2020_PJ-1201_V12020-09-01,CO_CO-NWD-2020_PJ-1201_V1,PJ-1201,CO,Grand Junction Field Office,6
1808011546097972018-09-01,180801154609797,CO-030,CO,Mesa,7
18091010481462052018-09-01,1809101048146205,WyoSage-712,CO,Mesa,8
CO_CO-NWD-2020_CW-1026_V12020-09-01,CO_CO-NWD-2020_CW-1026_V1,CW-1026,CO,Grand Junction Field Office,9
COS08000_2019_PJ-4502019-09-01,COS08000_2019_PJ-450,PJ-450,CO,COS08000,10
COS08000_2020_PJ-4562019-09-01,COS08000_2020_PJ-456,PJ-456,CO,COS08000,11
16071808504390982016-09-01,1607180850439098,1,CO,Mesa,12
COS08000_2019_MSDS-2222019-09-01,COS08000_2019_MSDS-222,MSDS-222,CO,COS08000,13
COS08000_2020_OTH-3602019-09-01,COS08000_2020_OTH-360,OTH-360,CO,COS08000,14
16090810071562932016-09-01,1609081007156293,PJ-384,CO,Mesa,15
17070509331028572017-09-01,1707050933102857,FID 13,CO,Mesa,16
17100309275726152017-09-01,1710030927572615,WyoSage-637,CO,Mesa,17
17070710281799052017-09-01,1707071028179905,FID 20,CO,Mesa,18
16070514351934452016-09-01,1607051435193445,MSDS-198,CO,Mesa,19
CO_Gunnison-Field-Office-2020_Forest_Other-008_V12020-09-01,CO_Gunnison-Field-Office-2020_Forest_Other-008_V1,Forest_Other-008,CO,Gunnison Field Office,20
18062515241744272018-09-01,1806251524174427,SS-543,CO,Mesa,21
COS01000_2019_GR-3032019-09-01,COS01000_2019_GR-303,GR-303,CO,COS01000,22
17080815382121002017-09-01,1708081538212100,FID 107,CO,Mesa,23
1705311619034022017-09-01,170531161903402,WySage-1450,CO,Gunnison,24
17070512574284772017-09-01,1707051257428477,FID 16,CO,Mesa,25
17080913375717342017-09-01,1708091337571734,FID 158,CO,Mesa,26
17091913025930162017-09-01,1709191302593016,CW-1022,CO,Mesa,27
1806180848524592018-09-01,180618084852459,MtnSage-2138,CO,Gunnison,28
