"ID","PlotKey","Soil"
1,"1808020100323562","Unknown"
12,"1607180850439098","52"
15,"1609081007156293","UNKNOWN"
19,"1607051435193445","47"
20,"CO_Gunnison-Field-Office-2020_Forest_Other-008_V1","SsF-Shule  Loam"
24,"170531161903402","jqfc"
28,"180618084852459","YpE"
31,"1608231014481599","Unknown"
46,"1908220613193495","Mountain Pinyon (F048AY448CO)"
48,"190821053446986","Mountain Clay Loam"
54,"1908220851114651","Mountain Pinyon (F048AY448CO)"
55,"1908230923127718","Foothill Swale"
56,"1706271313308061","jqff"
58,"1805310810266595","PhF"
60,"1908191116294600","Loamy Foothills (R036XY284CO)"
62,"1706270929284725","jqfl"
63,"1708151436311135","jyqs"
65,"1807032329056031","170"
76,"1807290543193253","337"
79,"1607071247107287","66"
81,"1805241246013561","LhF"
90,"1807260803061711","DsE"
94,"1708090841052195","k0q9"
96,"1807311609156010","PoF"
98,"1806070814571024","LhF"
100,"1606160907312529","UNKNOWN"
101,"CO_TRFO-2020_PJ-023_V1","Ustic Torriorthents"
105,"1806261203367029","VuE"
107,"1709010946064122","jqff"
110,"1607081113192893","76"
111,"1707180756003434","jqg2"
122,"1808012324502470","343"
124,"1806191355467594","PhF"
131,"COS01000_2020_SD-162","36"
133,"180813072516203","Ad"
136,"170802101136571","smnh"
139,"CO_TRFO-2020_AS-343_V1","Adel"
142,"1707050911313049","jqg3"
145,"CO_TRFO-2020_PJ-027_V1","Bowdish"
147,"CO_TRFO-2020_RI-250_V1","Zoltay"
150,"CO_TRFO-2020_SS-087_V1","Bowdish"
151,"1609090941263994","UNKNOWN"
159,"1707190848084048","jqg2"
161,"COF07000_OverSample2019_Conifer-2015","WeF—Wetterhorn stony loam"
163,"COF07000_OverSample2019_Cotton-2037","UtF—Uinta"
164,"COS01000_2020_PP-277","SW plateaus, mesas, and foothills."
167,"COS01000_2019_PJ-011","36"
170,"COF07000_2019_Aspen-2219","Wetterhorn stony loam"
179,"1708030751546586","jqff"
180,"1708221032499634","jqfg"
181,"1706290945528137","jqfl"
183,"COS01000_2019_SD-157","36"
184,"CO_Gunnison-Field-Office-2020_Forest_Other-013_V1","Wetterhorn stony loam"
187,"1706211026575100","jqg1"
188,"180904123210585","PoF"
196,"CO_CO-NWD-2020_PJ-477_V1","Jnvw"
204,"CO_TRFO-2020_SS-099_V1","Orthents"
207,"1806251852405986","LhF"
209,"1706221032346064","jqfl"
210,"1606151044024949","UNKNOWN"
211,"1707060940425438","jqff"
212,"1807021149594724","VuE"
213,"CO_TRFO-2020_SD-165_V1","Badland"
214,"1908230817386544","Brushy Loam (R048AY238CO)"
215,"1706131407416422","jqdy"
216,"CO_Gunnison-Field-Office-2020_Alpine-231_V1","Jypd"
217,"1809221322273661","N/A"
218,"CO_TRFO-2020_AS-345_V1","Adel"
224,"1609201352549489","69"
227,"1708171100089138","jqdy"
230,"1806281311203672","WoF"
232,"1806271427312065","Unknown"
240,"1808130943204023","Unknown"
241,"COS01000_2019_SD-158","36"
244,"1808221240575937","JeE"
249,"1808220903115197","JeE"
